repo,total_classes,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,cbo_q1,cbo_q3,dit_mean,dit_median,dit_std,dit_min,dit_max,dit_q1,dit_q3,lcom_mean,lcom_median,lcom_std,lcom_min,lcom_max,lcom_q1,lcom_q3
Ashok-Varma/BottomNavigation,30,7.533,5.5,7.816,0,33,2.0,10.0,1.433,1.0,0.728,1,4,1.0,2.0,69.267,4.5,162.136,0,854,0.25,61.5
awangdev/leet-code,81,2.025,2.0,1.897,0,8,1.0,3.0,1.0,1.0,0.0,1,1,1.0,1.0,1.086,0.0,2.955,0,15,0.0,0.0
pytorch/serve,251,5.801,3.0,7.264,0,36,1.0,8.0,1.466,1.0,0.9,1,5,1.0,2.0,63.916,3.0,327.665,0,3714,0.0,18.0
eirslett/frontend-maven-plugin,99,5.596,3.0,6.246,0,45,1.0,9.0,1.727,1.0,0.946,1,4,1.0,3.0,7.051,1.0,28.254,0,270,0.0,6.0
mywalkb/LSPosed_mod,447,5.575,3.0,7.231,0,46,1.0,7.0,1.624,1.0,1.264,1,16,1.0,2.0,50.201,0.0,327.87,0,4250,0.0,3.0
jeasonlzy/ImagePicker,76,5.829,3.0,6.27,0,29,2.0,9.0,1.487,1.0,0.774,1,4,1.0,2.0,23.079,0.0,115.57,0,873,0.0,5.25
bingoogolapple/BGARefreshLayout-Android,162,5.148,3.0,5.571,0,24,2.0,6.0,1.407,1.0,0.752,1,4,1.0,2.0,9.796,1.0,42.536,0,376,0.0,2.5
crate/crate,7558,7.572,5.0,10.921,0,470,2.0,9.0,1.642,1.0,0.961,1,15,1.0,2.0,48.889,1.0,668.647,0,34451,0.0,6.0
Snailclimb/guide-rpc-framework,95,4.621,4.0,3.923,0,21,2.0,6.5,1.211,1.0,0.651,1,4,1.0,1.0,1.189,0.0,3.642,0,26,0.0,1.0
ThirtyDegreesRay/OpenHub,656,6.756,4.0,7.582,0,48,2.0,8.0,1.633,1.0,1.182,1,9,1.0,2.0,32.928,1.0,130.036,0,2194,0.0,10.0
mcxiaoke/android-volley,132,5.091,3.0,5.391,0,27,1.0,8.0,1.894,1.0,2.758,1,31,1.0,2.0,15.818,0.0,94.17,0,1056,0.0,4.5
failsafe-lib/failsafe,238,6.387,6.0,5.354,0,29,2.0,9.0,2.063,1.0,1.743,1,12,1.0,2.0,19.176,1.0,56.379,0,528,0.0,10.0
brianway/java-learning,753,1.085,1.0,1.124,0,6,0.0,1.0,1.287,1.0,0.513,1,4,1.0,2.0,0.596,0.0,2.923,0,45,0.0,0.0
ongakuer/CircleIndicator,45,6.511,5.0,5.142,0,23,2.0,10.0,1.622,2.0,0.684,1,3,1.0,2.0,8.511,1.0,22.812,0,141,0.0,3.0
201206030/novel-plus,409,6.479,3.0,7.299,0,50,2.0,9.0,1.21,1.0,0.464,1,4,1.0,1.0,46.628,1.0,124.411,0,1274,0.0,28.0
jitsi/jitsi,3217,5.439,3.0,8.258,0,122,1.0,6.0,1.901,1.0,2.531,1,103,1.0,2.0,39.371,0.0,211.328,0,5643,0.0,9.0
grantland/android-autofittextview,8,5.375,4.0,5.153,0,16,2.5,6.75,1.375,1.0,0.518,1,2,1.0,2.0,40.75,1.5,107.671,0,307,0.0,5.5
google/open-location-code,67,4.955,3.0,6.294,0,29,1.0,6.0,1.179,1.0,0.458,1,3,1.0,1.0,4.552,0.0,11.361,0,49,0.0,1.0
s4kibs4mi/java-developer-roadmap,1,0.0,0.0,,0,0,0.0,0.0,1.0,1.0,,1,1,1.0,1.0,0.0,0.0,,0,0,0.0,0.0
jboss-javassist/javassist,1110,3.388,1.0,5.896,0,60,0.0,4.0,1.553,1.0,1.354,1,19,1.0,2.0,43.908,0.0,313.852,0,5531,0.0,3.0
mybatis/spring-boot-starter,175,4.52,4.0,6.404,0,68,2.0,5.0,1.223,1.0,0.516,1,4,1.0,1.0,16.177,0.0,153.054,0,2016,0.0,1.0
ChadCSong/ShineButton,24,4.833,2.0,5.7,0,22,1.0,7.0,1.625,1.0,0.824,1,4,1.0,2.0,23.625,0.0,94.182,0,464,0.0,6.75
nining377/dolby_beta,185,4.146,4.0,5.499,0,57,2.0,5.0,1.454,1.0,0.82,1,3,1.0,1.0,7.951,1.0,49.918,0,665,0.0,6.0
microsoft/malmo,278,7.05,5.0,7.355,0,49,2.0,10.0,2.144,2.0,2.717,1,41,1.0,3.0,12.849,1.0,30.403,0,193,0.0,11.0
